id,mean.gluc,var.gluc,sd.gluc,se.gluc,gene.gluc,Total.gluc,mean.dapto,var.dapto,sd.dapto,se.dapto,gene.dapto,Total.dapto,Meangluc.dapto,DOF,TDIST,PVALUE
SPT_1565,0.964151773394064,0.00109362708821947,0.0330700330846444,0.0165350165423222,rpsO,4,0.551020510228707,0.0222183321635659,0.149058150275542,0.0745290751377708,rpsO,4,0.4131,6,5.41122762424055,0.00082317
SPT_0587,0.959405515846999,0.00908804767995525,0.095331252377986,0.0301463889710779,rbfA,10,0.574857621486039,0.0332647227736815,0.182386191291121,0.0644832563283694,rbfA,8,0.3845,16,5.40163689400993,2.9386e-05
SPT_0552,0.394750662151404,0.0753819364226176,0.274557710550291,0.0629878586557164,dnaJ,19,0.0228734701314737,0.00714631379052588,0.0845358728027686,0.0189027958124266,dnaJ,20,0.3719,37,5.65514657378956,9.2042e-07
SPT_1963,0.739975304928305,0.0354748509647704,0.18834768638019,0.0297803840492238,rsgA,40,0.391221071288245,0.0742407613749945,0.272471579022463,0.0420432774126269,rsgA,42,0.3488,80,6.76993377292262,9.7829e-10
SPT_1964,0.982991965986187,0.0191890787015823,0.138524650158671,0.0204243453950673,ksgA,46,0.671312303377192,0.0708084271983597,0.266098529117242,0.0396676266545907,ksgA,45,0.3117,89,6.98613022436384,2.4851e-10
SPT_1605,0.88588800268767,0.0475242195094159,0.218000503461382,0.154149634299624,ftsZ,2,0.647711805282994,0.140684833481485,0.375079769491085,0.216552405883261,ftsZ,3,0.2382,3,0.896115508523509,0.21811
SPT_1234,0.909204336766251,0.0121476672509203,0.11021645635258,0.0139975039542887,era,62,0.682510081159953,0.0765051259401795,0.276595600001481,0.0357083384146662,era,60,0.2267,120,5.91075404912157,1.6366e-08
SPT_1022,0.974495186922424,0.00414912930309973,0.0644137353605559,0.00901972707632371,tylA,51,0.767496940110392,0.0109930676214202,0.104847830790247,0.015293627946792,tylA,47,0.207,96,11.6584933998466,5.5511e-17
SPT_1227,0.861277437425859,0.00941888518014226,0.0970509411605176,0.0157437415971372,smpB,38,0.680646159785,0.0365463180096913,0.19117091308484,0.0318618188474733,smpB,36,0.1806,72,5.08170018946869,1.4218e-06
SPT_1595,0.918944100673376,0.0073357557438985,0.0856490265204369,0.0428245132602184,gpmA,4,0.750073853651104,0.0732637332527979,0.270672741983374,0.156272980446395,gpmA,3,0.1689,5,1.04237052361464,0.1725
SPT_1423,0.814898745779378,0.00882786837718171,0.0939567367312303,0.0542459472439546,rimM,3,0.663389312966243,0.0159355516533444,0.126236094891059,0.0728824433667998,rimM,3,0.1515,4,1.66750808443416,0.08537
SPT_0714,0.878386710512967,0.00679872035296186,0.0824543531474346,0.0175793271576715,pyrE,22,0.733417107765985,0.0569930300877701,0.238732130405126,0.049779090288022,pyrE,23,0.145,43,2.74663058843408,0.0043792
SPT_0271,0.61879228035709,0.101040705655052,0.317869007069032,0.129769478727378,rplF,6,0.476414045430327,0.130635580413601,0.361435444323881,0.18071772216194,rplF,4,0.1424,8,0.640046785727664,0.27002
SPT_2101,0.671220404456046,0.0179227168951762,0.133875751707231,0.0133211351816013,gpsA,101,0.530531377875307,0.0419497646381766,0.204816416915677,0.0203799951996653,gpsA,101,0.1407,200,5.77884645012511,1.4251e-08
SPT_0713,0.872475812293832,0.00959638743885409,0.0979611527027632,0.0195922305405526,pyrF,25,0.732401296859829,0.0134731142126203,0.11607374471697,0.0242030488670695,pyrF,23,0.1401,46,4.49916774874893,2.3081e-05
