seqnames	start	end	width	strand	id
NC_003028	196	1558	1362	1	SP_0001
NC_003028	1716	2853	1137	1	SP_0002
NC_003028	2863	3112	249	1	SP_0003
NC_003028	3195	4311	1116	1	SP_0004
NC_003028	4381	4951	570	1	SP_0005
NC_003028	4951	8461	3510	1	SP_0006
NC_003028	8518	8785	267	1	SP_0007
NC_003028	8777	9146	369	1	SP_0008
NC_003028	9150	9273	123	1	SP_0009
NC_003028	9265	10534	1269	1	SP_0010
NC_003028	10530	11808	1278	1	SP_0011
NC_003028	11811	12354	543	1	SP_0012
NC_003028	12369	14328	1959	1	SP_0013
NC_003028	14449	14929	480	1	SP_0014
NC_003028	20403	20820	417	1	SP_0015
NC_003028	20928	21267	339	1	SP_0016
NC_003028	22358	22601	243	1	SP_0018
NC_003028	22831	24118	1287	1	SP_0019
NC_003028	24318	24786	468	1	SP_0020
NC_003028	24972	25416	444	1	SP_0021
NC_003028	25417	25933	516	1	SP_0022
NC_003028	27380	27878	498	1	SP_0024
NC_003028	27902	28112	210	1	SP_0025
NC_003028	28093	28717	624	1	SP_0026
NC_003028	28861	29830	969	1	SP_0027
NC_003028	30371	30605	234	-1	SP_0029
NC_003028	30562	30889	327	-1	SP_0030
NC_003028	30928	31243	315	-1	SP_0031
NC_003028	31534	34168	2634	1	SP_0032
NC_003028	34252	34690	438	1	SP_0033
NC_003028	35008	36019	1011	-1	SP_0034
NC_003028	36167	37337	1170	1	SP_0035
NC_003028	37333	38104	771	1	SP_0036
NC_003028	38100	39093	993	1	SP_0037
NC_003028	39098	39332	234	1	SP_0038
NC_003028	39715	39841	126	-1	SP_0040
NC_003028	39870	40101	231	1	SP_0041
NC_003028	40815	42969	2154	1	SP_0042
NC_003028	42981	44331	1350	1	SP_0043
NC_003028	44500	45208	708	1	SP_0044
NC_003028	45409	49135	3726	1	SP_0045
NC_003028	49227	50670	1443	1	SP_0046
NC_003028	50888	51911	1023	1	SP_0047
NC_003028	51907	52453	546	1	SP_0048
NC_003028	52536	53046	510	1	SP_0049
NC_003028	53070	54618	1548	1	SP_0050
NC_003028	54739	56002	1263	1	SP_0051
NC_003028	56258	56375	117	1	SP_0052
NC_003028	56404	56893	489	1	SP_0053
NC_003028	56879	57971	1092	1	SP_0054
NC_003028	57980	58208	228	1	SP_0055
NC_003028	58270	59569	1299	1	SP_0056
NC_003028	59623	63562	3939	-1	SP_0057
NC_003028	63889	64606	717	-1	SP_0058
NC_003028	64592	64694	102	1	SP_0059
NC_003028	64954	66742	1788	1	SP_0060
NC_003028	66738	67215	477	1	SP_0061
NC_003028	67242	68148	906	1	SP_0062
NC_003028	68134	68950	816	1	SP_0063
NC_003028	68956	69361	405	1	SP_0064
NC_003028	69659	70826	1167	1	SP_0065
NC_003028	70941	71979	1038	1	SP_0066
NC_003028	72140	72401	261	1	SP_0067
