seqnames	start	end	width	strand	id
genome	196	1558	1362	1	SPT_0001
genome	1716	2853	1137	1	SPT_0002
genome	2917	3112	195	1	SPT_0003
genome	3562	3982	420	-1	SPT_0004
genome	4105	4297	192	1	SPT_0005
genome	4600	4852	252	-1	SPT_0006
genome	4838	5180	342	-1	SPT_0007
genome	5230	5356	126	-1	SPT_0008
genome	5559	6084	525	-1	SPT_0009
genome	6176	6374	198	-1	SPT_0010
genome	6693	8259	1566	-1	SPT_0011
genome	8227	9088	861	-1	SPT_0012
genome	9084	9357	273	-1	SPT_0013
genome	9349	9691	342	-1	SPT_0014
genome	9671	9848	177	-1	SPT_0015
genome	9961	10177	216	-1	SPT_0016
genome	10169	10436	267	-1	SPT_0017
genome	10453	10594	141	-1	SPT_0018
genome	10605	11106	501	-1	SPT_0019
genome	11102	11243	141	-1	SPT_0020
genome	11643	11790	147	-1	SPT_0021
genome	11793	12222	429	-1	SPT_0022
genome	12375	12549	174	-1	SPT_0023
genome	12787	13036	249	-1	SPT_0024
genome	13047	13653	606	-1	SPT_0025
genome	13674	13983	309	-1	SPT_0026
genome	14244	15591	1347	1	SPT_0027
genome	15834	15987	153	-1	SPT_0028
genome	16229	16946	717	1	SPT_0029
genome	16964	17633	669	1	SPT_0030
genome	17771	18440	669	1	SPT_0031
genome	18903	19362	459	-1	SPT_0032
genome	19719	19842	123	1	SPT_0033
genome	20265	20502	237	1	SPT_0034
genome	20784	21090	306	1	SPT_0035
genome	21194	21755	561	1	SPT_0036
genome	22190	23357	1167	1	SPT_0037
genome	23476	24592	1116	1	SPT_0038
genome	24662	25232	570	1	SPT_0039
genome	25232	28742	3510	1	SPT_0040
genome	28799	29066	267	1	SPT_0041
genome	29058	29427	369	1	SPT_0042
genome	29431	29554	123	1	SPT_0043
genome	29546	30815	1269	1	SPT_0044
genome	30811	32089	1278	1	SPT_0045
genome	32092	32635	543	1	SPT_0046
genome	32650	34609	1959	1	SPT_0047
genome	34730	35210	480	1	SPT_0048
genome	42066	42303	237	1	SPT_0058
genome	42491	43820	1329	1	SPT_0059
genome	44020	44488	468	1	SPT_0060
genome	44674	45118	444	1	SPT_0061
